Position,Name,CPU,Clock Speed,Score (cb),Extra Info
298,Jakes9073,Intel Core I7 2600K,4.385ghz,144,
299,Jumper118,AMD FX9590,5.972ghz,144,
300,Ground,Intel Xeon E5620,4.3ghz,144,
301,lightningterror,Intel Core I3 4160,3.6ghz,143,
302,KingCry,Intel Core I7 4720HQ,2.6ghz,143,
303,BULLETBEEF JA,Intel Core I7 2600,4.074ghz,143,
304,herman mcpootis,Intel Core I7 4870HQ,2.5ghz,143,
305,bimmerman,Intel Xeon X5675,4.715ghz,142,
306,Intelfreak,Intel Core I5 8250U,1.8ghz,142,
307,ProKoN,Intel Xeon E5260,5.04ghz,141,
308,FireFox,Intel Core I5 2500K,4.0ghz,141,
309,edschofield15,Intel Core I5 2500K,4.0ghz,141,
310,iSky,Intel Core I5 6400 ,2.7ghz,141,
311,AlexCo,2x Intel Xeon E5-2699 V3,2.3ghz,141,
312,Guest,Intel Core I5 4460,3.2ghz,141,
313,Ultraviolet,Intel Core I7 3770,3.4ghz,141,
314,danakahawkeye,AMD Ryzen 5 1600,3.492ghz,141,
315,Jumper118,Intel Core 2 Duo E8400 MKII,4.954ghz,140,
316,ProKoN,AMD FX4300,5.846ghz,139,
317,DeanS,Intel Core I5 2500,3.3ghz,139,
318,Jumper118,Intel Core I5 655K,4.843ghz,138,
319,ProKoN,AMD FX9370,5.756ghz,138,
320,TheElt,Intel Core I7 5557U,3.1ghz,138,
321,Zhiv,Intel Pentium G4560,3.5ghz,138,
322,purple_rider,Intel Core I5 8250U,1.8ghz,138,
323,iHardware Shelden,Intel Core I7 3770 ,3.4ghz,138,
324,PokeCatz,Intel Core I7 4700MQ,2.4ghz,137,
325,Jumper118,Intel Xeon X5680,4.447ghz,137,
326,tbob22,Intel Xeon X5670,4.51ghz,136,
327,thinkoffcenter,2x Intel Xeon E5 2687W V3,3.1ghz,136,
328,Herman Mcpootis,Intel Xeon E3 1230 V3,3.3ghz,136,
329,agent_x007,Intel Xeon X5650,4.51ghz,136,
330,WhatsGoingOn,Intel Core I5 6500HQ,3ghz,135,
331,iggybo,AMD Ryzen 7 1700X,3.767ghz,135,
332,Chevy_Monsenhor,INtel Xeon E3 1220 V3 ,3.1ghz,134,
333,DeanS,Intel Xeon X5690,4.463ghz,134,
334,Hippo,Inel Xeon W3680,4.495ghz,133,
335,Jumper118,AMD FX4170,6.023ghz,133,
336,GoogleGonnaSaveUs,Intel Core I5 7300HQ,2.5ghz,133,
337,Ryan Leech,Intel Core 2 Duo E8500,4.683ghz,132,
338,Jumper118,AMD FX4130,5.932ghz,132,
339,Ookami,Intel Core I7 2600K,3.4ghz,131,
340,Overl0rd,Intel Core I7 980X,4.3ghz,131,
341,Pasi123,Intel Xeon X5670,4.44ghz,131,
342,asand1,Intel Xeon X5680,4.5ghz,131,
343,beebskadoo,Intel Core I7 2600K ,3.4ghz,130,
344,Dabobminable,Intel Core I5 4440,3.1ghz,130,
345,KingCry,Intel Core I7 4700HQ,2.4ghz,130,
346,iHardware Shelden,Intel Core I5 3570K,3.4ghz,130,
347,TheElt,Intel Core I3 4150,3.5ghz,129,
348,Jumper118,Intel Core 2 Quad Q9650,4.489ghz,128,
349,Haduvokone,Intel Core I5 3570,3.4ghz,128,
350,Jumper118,AMD FX8320,5.399ghz,128,
351,Jumper118,Intel Core I3 540,4.508ghz,128,
352,iHardware Shelden,Intel Core I7 5820K,3.99ghz,128,
353,DoctorZeus,Intel Xeon X5675,4.21ghz,128,
354,Tech Wizard,Intel Core I5 8250U,1.8ghz,128,
355,Priller,AMD FX8350,5.35ghz,127,
356,Cheddle,Intel Core I5 750,4.325ghz,127,
357,thinkoffcenter,2x Intel Xeon E5 2680 V2,2.8ghz,127,
358,agent_x007,Intel Core I7 980X,4.101ghz,127,
359,agent_x007,Intel Xeon X3370,4.419ghz,127,
360,Kizune,Intel Core I7 4700EQ,2.4ghz,127,
361,asand1,Intel Xeon X5680,4.3ghz,126,
362,Jumper118,Intel Pentium E6000,4.849ghz,126,
363,computerdaddy,Intel Core I5 750,4.213ghz,126,
364,ProKoN,Intel Core 2 Duo E7500,4.62ghz,125,
365,iHardware Shelden,Intel Xeon E3 1240,3.51ghz,125,
366,fx63007850,AMD FX6300,5.17ghz,124,
367,Audengineer,2x Intel Xeon E5 2630 v2,2.964ghz ,124,
368,BSpendlove,2x Intel Xeon E5 2687W,3.1ghz,124,
369,ElfenSky,Intel Core I7 4710HQ,2.5ghz,124,
370,Stefan1024,2x Intel Xeon E5 2680 ,3.111ghz,124,
371,ryan9298b2,Intel Core I7 990X,4.54ghz,124,
372,Jumper118,Intel Pentium E6500 ,4.675ghz,123,
373,fx63007850,AMD FX8350,5.108ghz,123,
374,Dabobminable,Intel Core 2 Duo E8500,4.418ghz,123,
375,tbob22,Intel Xeon E5 2670 ,3.511ghz,123,
376,done12many2,Intel Core I7 2760QM,2.4ghz,122,
377,stevv,Intel Xeon E3 1230 V2,3.5ghz,121,
378,NathanLawr0,Intel Core I7 920,4ghz,121,
379,LukaP,Intel Core I5 750,4.069ghz,120,
380,FireFox,Intel Core I3 2120,3.48ghz,120,
381,RicY,AMD FX8350,5.016ghz,120,
382,Savanake,Intel Xeon X5470,4.3ghz,120,
383,Chevy_Monsenhor,Intel Xeon X5670,4.009ghz,120,
384,Bubblewhale,Intel Core 2 Quad Q9650,4.194ghz,120,
385,Jumper118,Intel Pentium E5300,4.627ghz,119,
386,Jumper118,Intel Pentium E5200,4.6ghz,119,
387,Jumper118,Intel Pentium E5700,4.589ghz,119,
388,ProKoN,Intel Core 2 Duo E8400,4.238ghz,119,
389,ProKoN,AMD FX8350,4.925ghz,118,
390,bamerx98,AMD FX8350,5.057ghz,118,
391,Kuzma,Intel Xeon E5520,3.8ghz,118,
392,Dabobminable,Intel Xeon E5450,4.239ghz,118,
393,agent_x007,Intel Core 2 Quad QX9770,4.181ghz,118,
394,iHardware Shelden,Intel Core I7 3610QM,2.3ghz,118,
395,Reaver,AMD FX9370,4.917ghz,117,
396,Brekmister,AMD FX6350,4.883ghz,117,
397,iHardware Shelden,Intel Core 2 Quad Q9650,4.124ghz,117,
398,KeltonDSMer,AMD FX8320,4.878ghz,116,
399,DEcobra11,Intel Pentium G3220,3ghz,116,
400,Alienwaredude,Intel Core I7 3610QM,3.2ghz,116,
401,Ratchetman42,Intel Core I7 3630QM,2.4ghz,116,
402,Mugisha,2x Intel Xeon E5 2686 V4,2.3ghz,116,
403,agent_x007,Intel Core i7 965,3.737ghz,115,
404,SageOfSpice,AMD FX6300,4.75ghz,115,
405,Icetrio,Intel Xeon E5 2697 V4,2.3ghz,114,
406,Dabobminable,Intel Pentium E6500K MKII,4.44ghz,114,
407,StormtrooperStu,AMD FX8350,4.817ghz,114,
408,ProKoN,Intel Core I3 3220,3.44ghz,114,
409,KingCry,AMD FX4200,5.076ghz,114,
410,beebskadoo,Intel Core I7 3630QM,2.4ghz,113,
411,harrynowl,AMD A8 5600K MKII,4.89ghz,113,
412,Ragin Asian,AMD FX8320,4.716ghz,112,
413,VSG,Intel Core I7 3630QM,2.4ghz,112,
414,Linearbrun,Intel Core I7 5820K,3.3ghz,112,
415,NnifWald,Intel Xeon E5 2670 ,2.6ghz,112,
416,thinkoffcenter,2x Intel Xeon E5 2695 V3,2.3ghz,112,
417,bear-in-the-air,AMD FX4170,5ghz,112,
418,Darpyface,Intel Core I5 6500U,2.344ghz,112,
419,Jumper118,AMD Sempron 145 MKII,4.482ghz,111,
420,Jumper118,AMD FX6200,5.0ghz,111,(2 cores active)
421,Pvt. 8Ball,AMD FX8350,4.6ghz,110,
422,iSuzak,AMD FX8320,4.715ghz,110,
423,NumLock21,Intel Xeon E5-2620 V3,2.729ghz,110,
424,kittenmetal,AMD FX8320,4.816ghz,110,
425,Overl0rd,Intel Core I5 5300U,2.8ghz,110,
426,rainbrodash666,AMD FX9590,5.016ghz,109,
427,valdyrgramr,AMD FX9370,4.821ghz,109,
428,Prysin,AMD FX8320,4.615ghz,109,
429,agent_x007,Intel Xeon E5440,3.833ghz,109,
430,NumLock21,Intel Core I5 8250U,3ghz,109,
431,Priller,AMD FX8150,4.9ghz,108,
432,Jumper118,AMD A6 5400K,4.844ghz,108,
433,GoogleGonnaSaveUs,Intel Core I5 3230M,2.6ghz,108,
434,iHardware Shelden,AMD FX6300,4.515ghz,107,
435,agent_x007,AMD Phenom II X6 1100T,4.216ghz,107,
436,GoogleGonnaSaveUs,Intel Core I5 3210M,2.5ghz,107,
437,ProKoN,Intel Core I5 2520M,2.5ghz,106,
438,FireFox,Intel Core I5 2520M,2.5ghz,106,
439,runit3,Intel Pentium G645,3.088ghz,106,
440,Jumper118,Intel Core I5 2520M,2.5ghz,105,
441,Jumper118,AMD FX6200,4.7ghz,104,
442,Jumper118,AMD Athlon II X2 370K,4.728ghz,104,
443,scottyseng,Intel Xeon E5 2695 V3,2.5ghz,104,
444,agent_x007,Intel Core 2 Quad QX6850,3.944ghz,104,
445,Dabobminable,Intel Xeon E5450,3.78ghz,104,
446,thinkoffcenter,Xeon E5 2620 V3,2.4ghz,103,
447,ProKoN,Intel Core 2 Quad Q6600,4.002ghz,102,
448,calebr28,AMD Phenom II X6 1090T,3.96ghz,102,
449,Normand_Nadon,AMD FX8370,4.02ghz,102,
450,Dabombinable,Intel Core I5 2540M,2.6ghz,102,
