Position,Name,CPU,Clock Speed,Score (cb),Extra Info
549,iHardware Shelden,Intel Core I3 2310M,2.1ghz,68,
550,GoogleGonnaSaveUs,Intel Core I3 370M,2.4ghz,68,
551,FireFox,Intel Core 2 Duo E6750,2.66ghz,67,
552,Jumper118,Intel Core 2 Quad Q8300,2.5ghz,67,
553,Herman Mcpootis,Intel Core I5 M460,2.53ghz,67,
554,Ragin Asian,Intel Core I3 370M,2.4ghz,66,
555,Konasumi,Intel Pentium E5300,2.6ghz,66,
556,tmcclelland455,AMD A6 3650,2.6ghz,65,
557,Jumper118,Intel Pentium D 925,5.011ghz,63,
558,thinkoffcenter,Intel Celeron G1101,2.266ghz,63,
559,iHardware Shelden,Intel Pentium E2160,3.002ghz,63,
560,agent_x007,Intel Pentium D Extreme Edition,5.007ghz,62,
561,BSpendlove,Xeon E5 2603 V3,1.6ghz,61,
562,ProKoN,Intel Core 2 Duo T8100 ,2.1ghz,60,
563,FireFox,Intel Core 2 Duo T8100 ,2.1ghz,60,
564,agent_x007,INel Pentium Extreme Edition 965,4.823ghz,59,
565,Jumper118,AMD A10 7300,3.2ghz,57,
566,maxtch,Intel Core 2 Duo T7400,2.17ghz,55,
567,Dabobminable,AMD Phenom II N970,2.233ghz,53,
568,ProKoN,AMD A6 3400M,1.4ghz,51,
569,agent_x007,Intel Pentium 4 730,4.272ghz,51,
570,Dabobminable,AMD A8 4555M,1.6ghz,51,
571,iHardware Shelden,AMD A10 5757M,2.1ghz,51,
572,namandoesnotpanic,AMD A8 4500M,2.32ghz,51,
573,iHardware Shelden,AMD Phenom X4 9650,2.310ghz,50,
574,agent_x007,Intel Pentium Extreme Edition 840,4.324ghz,49,
575,TheElt,Intel Core 2 Duo T7100,1.989ghz,48,
576,TheElt,Intel Pentium E2180,2ghz,46,
577,DEcobra11,AMD Athlon 64 3700+,2.2ghz,44,
578,GoogleGonnaSaveUs,Intel Core 2 Duo T5500,1.67ghz,42,
579,GoogleGonnaSaveUs,AMD Athlon X2 QL-66,2.2ghz,42,
580,TheElt,AMD Athlon 64 X2 3800+,2ghz,41,
581,GoogleGonnaSaveUs,AMD Turion X2 RM-70,2ghz,41,
582,Dabobminable,AMD Phenom II P920,1.6ghz,40,
583,PokeCatz,Intel Pentium T2370,1.73ghz,40,
584,Cheddle,Intel Atom X7 Z8700,2.4ghz,38,
585,GoogleGonnaSaveUs,AMD Athlon 64 X2 TK-57,1.9ghz,37,
586,Bubblewhale,Intel Pentium 4 531,3ghz,31,
587,Dabobminable,Intel Pentium N3710,1.6ghz,31,
588,Intelfreak,Intel Atom x5 Z8350,1.44ghz,27,
589,GoogleGonnaSaveUs,AMD E-300,1.3ghz,21,
